FirstName,Phone,Notes
John Smith,+1234567890,Initial contact - interested in product
Sarah Johnson,+1987654321,Follow up required - pricing questions
Michael Brown,+1555123456,Ready to purchase - needs contract
Emily Davis,+1444987654,Demo requested - schedule meeting
Robert Wilson,+1333456789,Urgent follow up - complaint resolution
Jennifer Lee,+1666789012,Product demo needed - technical team
David Miller,+1777890123,Price negotiation - budget concerns
Lisa Taylor,+1888901234,Contract signing - legal review needed
James Anderson,+1999012345,Final approval - decision maker
Maria Garcia,+1000123456,Technical questions - IT department
Thomas Martinez,+1111234567,Comparison shopping - competitor research
Patricia Hernandez,+1222345678,Reference check - previous customers
Christopher Lopez,+1333456789,Custom requirements - special features
Amanda Gonzalez,+1444567890,Budget approval - finance team
Matthew Wilson,+1555678901,Implementation planning - project timeline
Jessica Anderson,+1666789012,Training needs - user onboarding
Daniel Thomas,+1777890123,Support contract - maintenance package
